ms,x,y
26226,875,659,242
26236,820,658,238
26247,562,657,234
26256,525,656,231
26267,860,655,227
26277,292,654,224
26287,358,653,221
26296,574,652,218
26307,197,651,216
26316,649,650,214
26326,963,650,211
26336,612,649,210
26347,221,649,209
26357,454,649,207
26376,831,649,206
26389,746,649,205
26457,705,650,205
26468,389,650,206
26486,682,650,207
26497,099,650,208
26506,977,649,208
26516,752,649,209
26526,574,649,210
26536,650,648,211
26547,032,647,212
26556,819,646,214
26566,541,645,215
26576,621,644,216
26586,878,642,217
26596,858,641,219
26607,122,640,220
26627,070,639,220
26637,128,638,221
26656,908,638,222
26686,815,638,223
26847,130,638,224
26987,586,637,224
26997,016,637,225
27087,363,637,226
27107,744,637,227
27127,411,637,228
27147,293,637,229
27157,491,637,230
27176,963,638,232
27187,430,638,234
27197,031,638,235
27207,460,639,237
27217,054,639,238
27227,137,639,240
27237,342,640,241
27247,137,640,242
27257,966,641,244
27267,683,642,245
27276,936,644,246
27286,947,646,247
27297,309,650,247
27307,275,657,248
27316,993,665,248
27327,214,677,248
27336,919,692,248
27347,198,705,248
27357,473,720,248
27367,200,735,248
27376,934,747,247
27387,534,757,247
27397,658,767,245
27407,316,775,244
27417,037,782,243
27427,024,788,243
27437,206,793,242
27447,077,796,240
27457,263,800,239
27467,619,802,238
27477,249,804,237
27487,315,807,236
27497,500,809,236
27507,286,809,234
27517,327,810,233
27527,048,811,232
27538,688,812,232
27547,521,812,231
27557,233,812,230
27577,420,812,229
27587,420,812,228
27597,222,812,227
27637,299,812,226
27777,428,811,226
27797,112,810,226
27817,044,809,226
27827,301,808,226
27847,934,807,226
27867,674,806,226
27878,342,805,226
27917,390,804,226
27947,266,803,226
28097,913,804,226
28147,682,804,227
28178,372,804,228
28208,152,804,229
28237,925,804,230
28247,335,804,231
28267,608,804,233
28277,455,804,234
28287,221,804,235
28297,472,804,237
28317,432,803,239
28327,566,803,241
28347,852,802,242
28358,311,801,244
28367,446,799,244
28377,428,798,244
28388,859,795,245
28397,919,790,245
28407,342,783,245
28417,746,775,245
28427,518,763,245
28437,696,751,245
28447,730,738,245
28457,508,727,245
28467,925,713,245
28477,478,701,245
28489,260,691,244
28497,518,683,244
28507,652,674,243
28517,938,667,241
28527,548,662,241
28537,544,657,240
28548,177,653,239
28557,688,650,238
28567,390,647,237
28577,914,645,237
28587,738,642,235
28597,490,640,234
28607,720,638,233
28617,574,638,232
28627,778,636,231
28637,720,635,230
28647,506,634,229
28657,461,634,228
28667,948,633,227
28677,441,632,226
28687,891,632,225
28697,900,631,225
28707,771,631,224
28718,439,630,223
28737,816,629,223
28748,564,629,222
28767,591,629,221
28788,063,629,220
29037,791,629,221
29118,014,629,222
29188,576,630,222
29228,618,630,223
29237,844,631,223
29248,112,631,224
29288,145,631,225
29297,993,631,226
29308,405,632,227
29328,009,632,228
29338,921,633,229
29348,222,633,231
29357,799,634,233
29368,066,634,235
29377,936,635,238
29387,912,635,241
29397,761,636,245
29407,956,636,248
29417,713,636,252
29428,064,637,256
29437,809,638,260
29447,801,639,264
29457,870,640,268
29468,285,641,270
29477,806,642,274
29488,154,643,276
29497,918,645,279
29508,120,647,281
29518,088,648,282
29528,131,651,284
29538,851,653,285
29548,301,656,286
29558,189,660,287
29569,085,665,287
29577,891,670,288
29588,480,675,288
29598,025,684,288
29608,188,692,289
29617,991,701,289
29628,320,709,289
29638,035,718,289
29648,148,726,289
29658,434,735,288
29668,443,743,288
29677,863,749,287
29688,171,756,286
29698,176,759,286
29708,293,765,283
29718,504,768,283
29727,995,771,282
29737,924,774,280
29748,372,777,278
29758,053,780,276
29768,093,781,274
